Phase,Category,Sub-Category,Checklist Item,Severity,Review Type,Mandatory,Status (Pass / Fail / NA),Reviewer Comments
Visual Design,Design Fidelity,Layout,UI layout matches approved design mockups/Figma files at desktop and mobile viewports; spacing and alignment within acceptable tolerance (2-4px),Critical,Side-by-side comparison,Yes,,
Visual Design,Design Fidelity,Typography,Font weights and styles render correctly across all browsers; text truncation and overflow behavior is intentional and consistent,High,Cross-browser review,Yes,,
Visual Design,Brand Consistency,Colors,Brand colors are applied consistently across all pages and components; no off-brand color variants visible,High,Visual inspection,Yes,,
Visual Design,Brand Consistency,Imagery,Placeholder and stock images replaced with final brand-approved assets; image and icon style consistent with brand guidelines,Critical,Content review,Yes,,
Visual Design,Visual Hierarchy,Layout,Visual hierarchy clearly guides user attention to primary actions and content on each page,High,UX review,Yes,,
Visual Design,Visual Hierarchy,States,Interactive element states (hover; active; disabled; selected) are visually distinct and consistent; disabled states meet WCAG contrast thresholds,High,Interactive review,Yes,,
User Experience,Navigation & Flow,Navigation,Navigation structure is logical and discoverable; users can reach any page within 3 clicks; back button behavior is predictable,High,UX walkthrough,Yes,,
User Experience,Navigation & Flow,Navigation,Deep linking and URL sharing work correctly; shared URLs render the expected page state,High,Functional review,Yes,,
User Experience,Navigation & Flow,User Flows,Core user flows (signup; login; purchase; search) are intuitive and require minimal steps to complete,Critical,UX walkthrough,Yes,,
User Experience,Navigation & Flow,User Flows,Multi-step processes show clear progress indication and allow backward navigation,High,UX walkthrough,Yes,,
User Experience,Navigation & Flow,User Flows,Destructive actions (delete; cancel; overwrite) require explicit confirmation with clear consequences explained,High,UX review,Yes,,
User Experience,Feedback & States,Loading,Loading states provide appropriate visual feedback (spinners; skeleton screens; progress bars) for operations >300ms,High,UX review,Yes,,
User Experience,Feedback & States,Empty States,Empty states have meaningful content with guidance on next steps; error recovery paths are clear,High,UX review,Yes,,
User Experience,Feedback & States,Success/Failure,Success and failure feedback is timely and visible without requiring user to scroll or search for confirmation,High,UX review,Yes,,
User Experience,Forms & Input,Validation,Form validation messaging is clear and specific; tells user exactly what is wrong and how to fix it; inline validation timing is appropriate,Critical,UX review,Yes,,
User Experience,Forms & Input,Flow,Form field order follows logical data entry sequence; tab order matches visual layout,High,UX review,Yes,,
User Experience,Micro-Interactions,Animations,Page transitions feel smooth and responsive; no jarring jumps or flashes between views,High,UX review,Yes,,
Content Quality,Readability,Copy,Content is free of spelling and grammatical errors across all pages and components,Critical,Content review,Yes,,
Content Quality,Readability,Copy,Microcopy (button labels; tooltips; placeholders; helper text) is clear; consistent in tone; and avoids technical jargon for target audience,High,Content review,Yes,,
Content Quality,Readability,Copy,Content hierarchy guides users through information logically; most important information first,High,Content review,Yes,,
Content Quality,Legal & Compliance,Compliance,Legal and compliance text (terms of service; privacy policy; disclaimers) is present where required; links are functional and accessible from all pages,Critical,Compliance review,Yes,,
Content Quality,Legal & Compliance,Compliance,Cookie consent meets regional compliance requirements (GDPR; CCPA); user data handling and storage practices comply with applicable privacy regulations,Critical,Compliance review,Yes,,
Cross-Browser & Device,Browser Testing,Visual,Visual appearance consistent across target browsers (Chrome; Firefox; Safari; Edge); web fonts render consistently with no FOIT or excessive FOUT,Critical,Cross-browser testing,Yes,,
