Solution,Phase,Category,Sub Category,Item,Priority,Implemented? (Yes / No / NA),Comments
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are all the integration systems identified and have point of contact for the same?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the SEO requirements documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",Integration Requirement,Are details/specifications on different systems that need to be integrated documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Integration Requirement,Are the requirements on Forms rendering and submission documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are the accessibility requirements documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are the usability requirements documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are the requirements on internationalization and localization (Placeholders) documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are the regulatory compliance requirements documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are security requirements documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are the performance requirements documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are the disaster recovery requirements including RTO documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Non Functional Requirement,Are the system monitoring requirements documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",System Context,Do we have a fair understanding of the current system and is there a reference architecture or requirement document available?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",System Context,Are the set of actors and their roles in the system documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",System Context,Are the different stakeholders/teams and their roles/responsibilities understood and documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",UI Requirement,Is the UX defined and style guide available?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",UI Requirement,Are imagery requirements documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Business Objectives,Is the current set of challenges/pain points clear and documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the requirements on Forms discoverability and Forms Portal documented?,Medium,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are all business requirements/use-cases documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the different set of actors against the use-cases documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the Forms prefill requirements/use-cases documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the Workflow requirements/use-cases documented?,High,,
AEM EDS,Discover,"Architecture, Design & Implementation",Functional Requirement,Are the Web Analytics (Adobe Analytics) use-cases documented?,High,,
