Phase,Group,Sub-Group,Checklist Item,Importance,Mandatory,Audit Type,Implemented? (Yes / No / NA),Comments,Evidence
Accessibility,Accessibility - WCAG Core,WCAG Core,WCAG 2.1 AA compliance met,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,All focusable elements have :focus or :focus-visible styles with visible outline/box-shadow/border change; no outline:none or outline:0 without replacement focus style; focus ring provides >=2px visible boundary,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Skip links implemented,High,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Reduced motion respected,High,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Announce dynamic content changes,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible buttons and links,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Form validation errors use aria-invalid='true' on invalid fields; error messages linked via aria-describedby; error summary with anchor links present for forms with >3 fields; no alert() or browser-default-only validation as sole error mechanism,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible error messaging,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,ARIA labels provided where needed,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Modal/dialog elements have role='dialog' or role='alertdialog' with aria-modal='true' and aria-labelledby/aria-label; keydown handler for Escape key present in source; focusable elements exist inside dialog container,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible tables,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible lists,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Responsive and reflow-safe content,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,<video> elements have <track kind='captions'> with valid non-empty src,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,<audio> elements have adjacent transcript link or aria-describedby pointing to transcript content; transcript container visible (not display:none/visibility:hidden),Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,No focus-trap calls outside of modal/dialog components; no keydown handlers that programmatically restrict Tab key to a subset of elements on non-modal pages,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Navigation,Navigation depth within acceptable limit,Medium,No,Code Audit,,,
Accessibility,Accessibility - CSS,Interaction,No :hover-only JS event handlers (every click/mouseenter handler has a keyboard equivalent); every CSS :hover show/hide rule has a corresponding :focus or :focus-within rule on the same selector,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Focus,Visible focus styles present,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Motion,Animations respect prefers-reduced-motion,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Motion,Total animation/transition count per page within threshold; no animations >2s duration; no infinite animations on non-loading elements,High,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Semantics,ARIA attributes used correctly,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,Sufficient contrast via tokens,High,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,No focus removed via CSS,High,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,All CSS :hover rules have corresponding :focus or :focus-visible rules on the same selectors,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,Visually-hidden patterns (.sr-only/.visually-hidden) use approved clip/position technique; no display:none or visibility:hidden on screen-reader-targeted text,Medium,Yes,Code Audit,,,
