Phase,Group,Sub-Group,Checklist Item,Importance,Mandatory,Audit Type,Implemented? (Yes / No / NA),Comments,Evidence
Development,HTML Semantics & Structure,Semantics,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Semantics,Correct heading hierarchy maintained,Critical,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Semantics,Single h1 per page where applicable,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Landmarks,Landmark regions defined,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Consistent sectioning elements usage,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Avoid excessive DOM depth,Medium,No,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Repeated component types use consistent HTML structure (automated pattern deviation detection across same-class elements),Medium,No,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,All inputs have associated labels,Critical,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Placeholder not used as label,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Required fields indicated accessibly,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Primary content (headings/navigation/body text) renders with JavaScript disabled; <noscript> fallbacks present where applicable,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Avoid inline event handlers,Medium,No,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Avoid inline styles,Medium,No,Linting,,,
Development,HTML Forms & Inputs,Forms,Accessible names for interactive elements,Critical,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,No empty links or buttons,High,Yes,Code Audit,,,
