Phase,Group,Sub-Group,Checklist Item,Importance,Mandatory,Audit Type,Implemented? (Yes / No / NA),Comments,Evidence
Process & Governance,Version Control & Repository,VCS,Git repository initialized with .git directory present; remote origin configured; repository is not in detached HEAD state,Critical,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,.gitignore file present and includes standard exclusions (node_modules; dist/build output; .env files; OS files; IDE config); no build artifacts or dependency folders committed,Critical,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,Package lock file (package-lock.json or yarn.lock) committed to repository; lock file version matches package.json dependencies; no conflicting lock files present,High,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,.editorconfig file present with consistent settings for indent style; indent size; end-of-line; charset; and trim trailing whitespace,High,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,CODEOWNERS file present (GitHub) or equivalent merge-request approval rules configured; ownership covers all critical directories (src; config; CI files),High,Yes,File Check,,,
Process & Governance,Version Control & Repository,Branching,Branch naming follows defined convention pattern (e.g. feature/*; bugfix/*; hotfix/*; release/*); no branches with generic names (test; temp; fix; branch1); main/master branch present as default,High,Yes,File Check,,,
Process & Governance,Version Control & Repository,Branching,No direct commits to main/master branch detected via git log (all commits arrive as merge commits),Critical,Yes,File Check,,,
Process & Governance,Version Control & Repository,Branching,Stale branches (no commits in >30 days and not merged) identified and flagged for cleanup; total branch count within manageable threshold (<50 active branches),Medium,No,File Check,,,
Process & Governance,PR & Code Review,Approvals,Pull request template file (.github/PULL_REQUEST_TEMPLATE.md or equivalent) exists with sections for description; testing; and checklist,High,Yes,File Check,,,
Process & Governance,PR & Code Review,Approvals,Merge commits follow conventional commit format (feat/fix/chore/docs prefix); commit messages >10 characters (verified via git log),High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI/CD configuration file present (.github/workflows/*.yml; .gitlab-ci.yml; Jenkinsfile; or equivalent); pipeline runs on pull requests and main branch pushes,Critical,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes lint step (ESLint/Stylelint execution); pipeline fails on lint errors; lint configuration files referenced in CI match repository config,Critical,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes unit test execution step; test runner configured (Jest/Vitest/Mocha/Karma); pipeline fails on test failures; test coverage report generated,Critical,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes build/compile step that validates production build succeeds without errors; build artifacts generated and verifiable,High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes accessibility audit step (axe-core; pa11y; or Lighthouse accessibility) that fails on critical/serious violations,High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes security scanning step (npm audit; Snyk; or Dependabot) that flags known vulnerabilities in dependencies,High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,Automated deployment pipeline configured for staging/production environments; deployment requires CI pipeline pass; no manual deployment scripts as sole mechanism,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Testing,Unit test files exist (*.test.js; *.spec.ts or equivalent pattern); test file count proportional to source file count (ratio >=0.3); test files not empty,Critical,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Testing,Test coverage configuration present (jest.config coverage thresholds; nyc/.nycrc; or equivalent); minimum coverage threshold defined (>=60% line coverage for critical paths),High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Testing,E2E or integration test files exist (Cypress; Playwright; or Selenium configs detected); test scenarios cover critical user flows,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Quality,Prettier or equivalent code formatter configuration file present (.prettierrc; .prettierrc.json); format-on-save or pre-commit format hook configured,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Quality,Pre-commit hooks configured (husky; lint-staged; or lefthook); hooks run linting and formatting before each commit; .husky directory or equivalent present,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Quality,TypeScript strict mode enabled (strict: true in tsconfig.json) or equivalent type-checking configuration; no 'any' type usage exceeding threshold (max 5% of type annotations),High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,Environment variable template (.env.example or .env.template) present and committed; documents all required environment variables with descriptions; actual .env files excluded from repository,High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,README.md present in repository root with project setup instructions; includes prerequisites; install steps; build commands; and run commands; README not a default scaffold placeholder,High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,LICENSE file present in repository root; license type appropriate for project (commercial/open-source),Medium,No,File Check,,,
Process & Governance,Project Configuration,Config,Node.js version specified via .nvmrc; .node-version; or engines field in package.json; version is LTS or current stable,High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,Docker configuration (Dockerfile; docker-compose.yml) present where containerization is required; no secrets hardcoded in Docker files,Medium,No,File Check,,,
Process & Governance,Project Configuration,Config,CHANGELOG.md or automated release notes (semantic-release; standard-version; changesets) configured; version history traceable from repository,Medium,No,File Check,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated placeholder comments detected (e.g. '// TODO: implement this'; '// Add your code here'; '// This function does X' without actual logic); boilerplate comment patterns from code-generation tools flagged via regex,High,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated hallucinated imports (import statements referencing non-existent packages or modules not installed in node_modules); all import paths resolve to actual files or installed dependencies,Critical,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated dead utility functions (exported functions with zero import references across the codebase); orphaned helper files with no consumers flagged,High,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated hardcoded mock data or example values left in production code (e.g. 'John Doe'; 'test@example.com'; 'Lorem ipsum'; '123 Main St'; placeholder UUIDs); regex pattern scan across source files,High,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No excessive code comments with AI-characteristic patterns (step-by-step narration; comment-to-code ratio >50% in non-config files); over-commented files flagged,Medium,No,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No inconsistent coding patterns within the same file suggesting mixed AI-generation sessions (e.g. switching between arrow functions and function declarations; mixed async patterns; inconsistent error handling strategies within same module),Medium,No,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Security,No AI-generated code containing hardcoded API keys; tokens; passwords; or credentials in string literals; secret patterns (API_KEY=; Bearer ; sk-; ghp_; AKIA) scanned across all source files,Critical,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Security,No AI-suggested vulnerable patterns: no eval() with dynamic strings; no innerHTML with user input; no SQL/NoSQL string concatenation; no unsanitized URL construction; patterns flagged via static analysis,Critical,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Licensing,AI-generated code does not introduce copyleft license obligations; no verbatim code blocks matching GPL/AGPL-licensed open-source projects detected via code similarity scanning,High,Yes,Code Audit,,,
