Component Name,Source Location,Variant/State,Props or Inputs,Instances Found,Usage Status,EDS Block Alignment,Drift Flag,Drift Type,Evidence / Notes
black-bar,shengage/blocks/black-bar,Default strap,"Authored rich text, inline CTA",0 direct imports,Active,None,No,N/A,CSS-only strap in blocks/black-bar/black-bar.css paints the top announcement bar; content supply defines behavior.
blockquote,shengage/blocks/blockquote,Default,"Quote copy, CTA link (.red-text)",1 internal query (document.querySelector),Active,None,No,N/A,blocks/blockquote/blockquote.js forces CTA links inside .red-text to open in new tab; no imports elsewhere.
blue-heading,shengage/blocks/blue-heading,Default (color emphasis),Heading text,0 direct imports,Active,None,No,N/A,CSS in blocks/blue-heading/blue-heading.css re-skins headings; purely stylistic wrapper.
cards,shengage/blocks/cards,Carousel default,"Image, heading, CTA link",0 direct imports,Active,card,Yes,Interaction variance,blocks/cards/cards.js builds a horizontal carousel with custom dots/arrows and inline SVG fetch; diverges from standard EDS card grid behavior.
columns,shengage/blocks/columns,2-col with autoplay media,Column markup (img + text),0 direct imports,Active,None,No,N/A,blocks/columns/columns.js injects looping video into image column and auto-rotates slides with dots.
comment,shengage/blocks/comment,Threaded comments,"storyId meta, reaction config, auth state",0 direct imports,Active,None,No,N/A,"blocks/comment/comment.js wires posting, replies, like counts, and renders nested markup using APIs and IMS auth."
date,shengage/blocks/date,Default,Authored date text,0 direct imports,Active,None,No,N/A,CSS in blocks/date/date.css formats inline date badges; no JS.
date-calendar-blue-box,shengage/blocks/date-calendar-blue-box,Blue accent,Day + month labels,0 direct imports,Active,None,No,N/A,CSS-only block (blocks/date-calendar-blue-box/date-calendar-blue-box.css) for event callouts.
footer,shengage/blocks/footer,Fragment-driven footer,footer metadata path,0 direct imports,Active,None,No,N/A,blocks/footer/footer.js loads authored footer fragment and injects DOM.
footnote,shengage/blocks/footnote,Default,Footnote text,0 direct imports,Active,None,No,N/A,Styling only (blocks/footnote/footnote.css) for legal notes.
fragment,shengage/blocks/fragment,Dynamic include,Fragment path link,"2 imports (header, footer)",Active,None,No,N/A,loadFragment exported in blocks/fragment/fragment.js is reused by header/footer to hydrate nav/footer fragments.
head-image,shengage/blocks/head-image,Overlay hero clone,Hero image + heading,0 direct imports,Active,hero-banner,Yes,Visual duplication,"blocks/head-image/head-image.css positions absolute headings over imagery, overlapping with hero/video banners."
header,shengage/blocks/header,Responsive nav,"Nav fragment, metadata breadcrumbs flag",0 direct imports,Active,None,No,N/A,"blocks/header/header.js builds hamburger nav, dropdown keyboard support, and optional breadcrumbs."
hero,shengage/blocks/hero,Baseline hero,Image + H1,1 scripted build (buildHeroBlock),Active,hero-banner,No,N/A,"scripts/scripts.js auto-builds hero blocks when picture precedes H1, representing the canonical hero implementation."
iframe-video,shengage/blocks/iframe-video,Embedded hero overlay,"Iframe markup, overlay copy",0 direct imports,Active,hero-banner,Yes,Media treatment drift,"blocks/iframe-video/iframe-video.js wraps authored iframe with overlay text similar to hero/video blocks, duplicating hero messaging patterns."
individualstory,shengage/blocks/individualstory,Story card,"Image, short copy",0 direct imports,Active,card,Yes,Style variance,CSS-only presentation for singular story tiles mirrors card layout but with bespoke typography.
photogrid,shengage/blocks/photogrid,Gallery with modal,UL of images,0 direct imports,Active,None,No,N/A,"blocks/photogrid/photogrid.js builds pop-up gallery, fullscreen toggle, and prev/next controls."
programdetail-header,shengage/blocks/programdetail-header,Program hero variant,Rowed heading + media,0 direct imports,Active,hero-banner,Yes,Layout duplication,Simple row classifiers in blocks/programdetail-header/... rely on hero-like composition; overlaps with base hero.
quote,shengage/blocks/quote,Default,"Quote text, author",0 direct imports,Active,None,No,N/A,Styling adjustments only (blocks/quote/quote.css).
reaction,shengage/blocks/reaction,Emoji reactions,"storyId meta, IMS session",0 direct imports,Active,None,No,N/A,"blocks/reaction/reaction.js posts/gets reactions via /postReaction, gating UI on IMS auth."
shengage-events,shengage/blocks/shengage-events,Impact counters,Table data with numbers,0 direct imports,Active,None,No,N/A,blocks/shengage-events/shengage-events.js animates numeric stats via IntersectionObserver.
shengage-header,shengage/blocks/shengage-header,Hero headline band,Heading/text content,0 direct imports,Active,hero-banner,Yes,Visual duplication,CSS-only hero variant (blocks/shengage-header/shengage-header.css) duplicates hero styling for SHEngage brand strip.
stories,shengage/blocks/stories,Carousel,Story cards (image + copy),0 direct imports,Active,card,Yes,Interaction variance,"blocks/stories/stories.js builds paged carousel with custom arrows/dots and inline SVG fetch, overlapping cards pattern."
title-card,shengage/blocks/title-card,Title tile,Rows of copy,0 direct imports,Active,card,Yes,Simple duplication,blocks/title-card/title-card.js only tags rows (row-0/1) yielding another card-style headline tile.
video,shengage/blocks/video,Background video hero,"MP4 URL, overlay copy",0 direct imports,Active,hero-banner,Yes,Media duplication,"blocks/video/video.js renders autoplay hero video with mute toggle, overlapping other hero forms."
